appId,title,developer,score,ratings,installs,genre,price
com.google.android.apps.labs.language.tailwind,Google NotebookLM,Google LLC,4.830287,128188,"10,000,000+",Productivity,0
ai.turbolearn,Turbo AI - Notetaker,Turbo AI,4.7410016,246977,"1,000,000+",Education,0
com.aisense.otter,OtterAI Transcribe Voice Notes,Otter.ai,4.304663,25892,"5,000,000+",Productivity,0
com.codespaceapps.meetingtranscriber,Smart Noter - AI Note Taker,Deep Flow Apps,4.3348417,63349,"5,000,000+",Productivity,0
io.labhouse.audioapp,Summary - AI Note Taker,Labhouse Mobile,4.7252254,26924,"500,000+",Productivity,0
com.meetgeek.assistant,AI Transcribe. Speech to Text,MeetGeek: AI Note Taker. Transcribe Speech to Text,4.402299,914,"100,000+",Productivity,0
notion.id,"Notion: Notes, Tasks, AI","Notion Labs, Inc.",4.677116,333562,"10,000,000+",Productivity,0
com.yygg.note.app,"Notewise - AI Notes, PDF, Docs",Notewise,4.5953755,24499,"5,000,000+",Productivity,0
com.studocu.app,Studocu: AI Notes & Summaries,Studocu,4.58,21554,"1,000,000+",Education,0
ai.plaud.android.plaud,Plaud: AI Note Taker,PLAUD LLC,4.6114287,7749,"100,000+",Tools,0
com.sota.ainotex,NoteX: AI Notes & Meetings,SotaLabs,4.34,1730,"100,000+",Productivity,0
ai.fireflies.mobile,Fireflies: AI notetaker,Fireflies.ai,4.633663,4154,"100,000+",Productivity,0
com.ma.waveapp,Wave AI Note Taker & Recorder,Mohrer Associates,4.548148,1967,"100,000+",Productivity,0
ai.notes.notebook,HyNote: AI Notebook LLM Notes,Turing Intelligence,4.4,3353,"100,000+",Productivity,0
ai.meeting.app,Meeting.ai: AI Visual Notes,Meeting.ai,4.59,12040,"100,000+",Productivity,0
com.recordpro.audiorecord,HiNoter - AI Note Taker,Nieruo Team,4.571429,2035,"100,000+",Productivity,0
com.feraset.ainote,AI Note Taker - Meeting Notes,FERASET,4.287129,1587,"10,000+",Education,0
com.goodnotes.android.app,"Goodnotes: AI Notes, Docs, PDF",Goodnotes,3.6875,25892,"1,000,000+",Productivity,0
com.hubx.noteai,Note AI: Smart Note Taker,HubX,4.3846154,7194,"100,000+",Productivity,0
app.coconote,Coconote - AI Note Taker,Quizlet Inc.,4.4059405,2105,"100,000+",Education,0
